case Id,activity,timestamp
60_0,Loan application received,63700189200
60_0,Check application form completeness,63700193508
60_0,Added Activity,63700194053
60_0,Assess loan risk,63700196043
60_0,Appraise property,63700254784
60_0,Assess eligibility,63700258324
60_0,Reject application,63700258394
60_0,Loan application rejected,63700258394
60_0,Check credit history,63700260552
60_0,Assess loan risk,63700262899
61_1,Loan application received,63700263000
61_1,Check application form completeness,63700265654
61_1,Added Activity,63700266365
61_1,Assess loan risk,63700267347
61_1,Check credit history,63700268291
61_1,Assess loan risk,63700270469
61_1,Appraise property,63700271090
61_1,Check credit history,63700271179
61_1,Assess loan risk,63700271657
61_1,Added Activity,63700271710
61_1,Appraise property,63700272524
61_1,Added Activity,63700272820
61_1,Assess loan risk,63700273735
61_1,Assess loan risk,63700274308
61_1,Appraise property,63700275214
61_1,Check credit history,63700275946
61_1,Assess loan risk,63700277348
61_1,Assess eligibility,63700277707
61_1,Reject application,63700278494
61_1,Loan application rejected,63700278494
62_2,Loan application received,63700279200
62_2,Check application form completeness,63700280332
62_2,Added Activity,63700280410
62_2,Assess loan risk,63700281286
62_2,Check credit history,63700281539
62_2,Assess loan risk,63700282025
62_2,Appraise property,63700340667
62_2,Check credit history,63700340764
62_2,Added Activity,63700342301
62_2,Assess loan risk,63700345187
62_2,Appraise property,63700345708
62_2,Added Activity,63700345736
62_2,Appraise property,63700345833
62_2,Check credit history,63700346266
62_2,Assess eligibility,63700346284
62_2,Assess loan risk,63700347271
62_2,Assess loan risk,63700347380
62_2,Assess loan risk,63700347391
62_2,Reject application,63700349252
62_2,Loan application rejected,63700349252
140_3,Loan application received,63705632400
140_3,Check application form completeness,63705632952
140_3,Added Activity,63705633581
140_3,Check credit history,63705634075
140_3,Assess loan risk,63705634991
140_3,Assess loan risk,63705635500
140_3,Appraise property,63705636919
140_3,Assess eligibility,63705637282
140_3,Reject application,63705637740
140_3,Loan application rejected,63705637740
69_4,Loan application received,63700795800
69_4,Check application form completeness,63700800925
69_4,Check credit history,63700858808
69_4,Added Activity,63700859232
69_4,Assess loan risk,63700859301
69_4,Assess loan risk,63700859449
69_4,Appraise property,63700863561
69_4,Assess eligibility,63700864543
69_4,Prepare acceptance pack,63700867052
69_4,Check if home insurance quote is requested,63700868263
69_4,Send home insurance quote,63700868994
69_4,Verify repayment agreement,63700870286
69_4,Approve application,63700874903
69_4,Loan application approved,63700874903
141_5,Loan application received,63705706200
141_5,Check application form completeness,63705712072
141_5,Added Activity,63705713174
141_5,Check credit history,63705713697
141_5,Assess loan risk,63705714282
141_5,Appraise property,63705718754
141_5,Assess eligibility,63705719133
141_5,Reject application,63705719532
141_5,Loan application rejected,63705719532
141_5,Assess loan risk,63705720095
50_6,Loan application received,63699566400
50_6,Check application form completeness,63699568791
50_6,Check credit history,63699569613
50_6,Added Activity,63699569635
50_6,Assess loan risk,63699569733
50_6,Appraise property,63699570948
50_6,Assess loan risk,63699571071
50_6,Assess eligibility,63699571579
50_6,Prepare acceptance pack,63699574446
50_6,Check if home insurance quote is requested,63699577623
50_6,Send acceptance pack,63699578339
50_6,Verify repayment agreement,63699589785
50_6,Cancel application,63699649630
50_6,Loan application canceled,63699649630
70_7,Loan application received,63700869600
70_7,Check application form completeness,63700876299
70_7,Added Activity,63700876648
70_7,Assess loan risk,63700877486
70_7,Check credit history,63700881677
70_7,Assess loan risk,63700882671
70_7,Appraise property,63700884873
70_7,Assess eligibility,63700885473
70_7,Prepare acceptance pack,63700946396
70_7,Check if home insurance quote is requested,63700948042
70_7,Send acceptance pack,63700948469
70_7,Verify repayment agreement,63700951580
70_7,Approve application,63700952123
70_7,Loan application approved,63700952123
72_8,Loan application received,63700959600
72_8,Check application form completeness,63700960798
72_8,Added Activity,63700961223
72_8,Assess loan risk,63700961232
72_8,Check credit history,63700961995
72_8,Appraise property,63700962748
72_8,Added Activity,63700963108
72_8,Assess loan risk,63700964310
72_8,Check credit history,63700964425
72_8,Appraise property,63700964902
72_8,Assess loan risk,63700964982
72_8,Assess loan risk,63700965134
72_8,Assess eligibility,63700967991
72_8,Prepare acceptance pack,63700968770
72_8,Check if home insurance quote is requested,63700970337
72_8,Send home insurance quote,63700970764
72_8,Verify repayment agreement,63700972901
72_8,Approve application,63700973436
72_8,Loan application approved,63700973436
51_9,Loan application received,63699582600
51_9,Check application form completeness,63699585101
51_9,Added Activity,63699585301
51_9,Check credit history,63699585320
51_9,Assess loan risk,63699585704
51_9,Appraise property,63699586118
51_9,Added Activity,63699588021
51_9,Assess loan risk,63699588621
51_9,Assess loan risk,63699588818
51_9,Check credit history,63699589445
51_9,Assess loan risk,63699649350
51_9,Appraise property,63699653082
51_9,Assess eligibility,63699657145
51_9,Reject application,63699658821
51_9,Loan application rejected,63699658821
249_10,Loan application received,63713043000
249_10,Check application form completeness,63713047911
249_10,Check credit history,63713049312
249_10,Assess loan risk,63713049484
249_10,Added Activity,63713050450
249_10,Appraise property,63713050525
249_10,Assess loan risk,63713050856
249_10,Assess eligibility,63713052168
249_10,Prepare acceptance pack,63713052576
249_10,Check if home insurance quote is requested,63713053606
249_10,Send acceptance pack,63713053692
249_10,Verify repayment agreement,63713053722
249_10,Cancel application,63713054913
249_10,Loan application canceled,63713054913
73_11,Loan application received,63701206200
73_11,Check application form completeness,63701208100
73_11,Check credit history,63701208497
73_11,Assess loan risk,63701208518
73_11,Added Activity,63701210126
73_11,Assess loan risk,63701210483
73_11,Appraise property,63701210780
73_11,Assess eligibility,63701213358
73_11,Reject application,63701214026
73_11,Loan application rejected,63701214026
244_12,Loan application received,63712789200
244_12,Check application form completeness,63712789371
244_12,Added Activity,63712790107
244_12,Assess loan risk,63712790574
244_12,Appraise property,63712791228
244_12,Check credit history,63712791720
244_12,Added Activity,63712791829
244_12,Assess loan risk,63712791893
244_12,Assess loan risk,63712792306
244_12,Check credit history,63712792322
244_12,Assess loan risk,63712792985
244_12,Appraise property,63712793423
244_12,Assess eligibility,63712794151
244_12,Prepare acceptance pack,63712794540
244_12,Check if home insurance quote is requested,63712795119
244_12,Send home insurance quote,63712795966
244_12,Verify repayment agreement,63712797827
244_12,Cancel application,63712798901
244_12,Loan application canceled,63712798901
243_13,Loan application received,63712715400
243_13,Check application form completeness,63712715494
243_13,Added Activity,63712715676
243_13,Assess loan risk,63712716185
243_13,Appraise property,63712716391
243_13,Check credit history,63712716566
243_13,Check credit history,63712717204
243_13,Assess loan risk,63712718247
243_13,Added Activity,63712718619
243_13,Appraise property,63712719838
243_13,Assess loan risk,63712719956
243_13,Assess loan risk,63712720967
243_13,Added Activity,63712721690
243_13,Check credit history,63712721818
243_13,Appraise property,63712722804
243_13,Assess loan risk,63712722950
243_13,Added Activity,63712723086
243_13,Assess loan risk,63712783067
243_13,Appraise property,63712783559
243_13,Check credit history,63712783680
243_13,Assess loan risk,63712783979
243_13,Assess eligibility,63712786598
243_13,Assess loan risk,63712786744
243_13,Prepare acceptance pack,63712787540
243_13,Check if home insurance quote is requested,63712789760
243_13,Send home insurance quote,63712791023
243_13,Verify repayment agreement,63712803182
243_13,Approve application,63712803389
243_13,Loan application approved,63712803389
71_14,Loan application received,63700885800
71_14,Check application form completeness,63700886470
71_14,Check credit history,63700887306
71_14,Added Activity,63700945286
71_14,Assess loan risk,63700949439
71_14,Assess loan risk,63700949489
71_14,Appraise property,63700949972
71_14,Check credit history,63700950677
71_14,Added Activity,63700951598
71_14,Assess loan risk,63700952549
71_14,Assess loan risk,63700953849
71_14,Appraise property,63700958831
71_14,Assess eligibility,63700961301
71_14,Reject application,63700965667
71_14,Loan application rejected,63700965667
58_15,Loan application received,63700099200
58_15,Check application form completeness,63700099732
58_15,Check credit history,63700100063
58_15,Assess loan risk,63700100715
58_15,Added Activity,63700104187
58_15,Assess loan risk,63700104872
58_15,Appraise property,63700104975
58_15,Assess eligibility,63700109263
58_15,Prepare acceptance pack,63700169744
58_15,Check if home insurance quote is requested,63700169930
58_15,Send home insurance quote,63700173565
58_15,Verify repayment agreement,63700173644
58_15,Cancel application,63700175128
58_15,Loan application canceled,63700175128
59_16,Loan application received,63700173000
59_16,Check application form completeness,63700173219
59_16,Return application back to applicant,63700175818
59_16,Receive updated application,63700177818
59_16,Check application form completeness,63700178878
59_16,Added Activity,63700180372
59_16,Check credit history,63700180399
59_16,Assess loan risk,63700181168
59_16,Appraise property,63700182593
59_16,Assess loan risk,63700184231
59_16,Assess eligibility,63700185133
59_16,Prepare acceptance pack,63700186999
59_16,Check if home insurance quote is requested,63700187663
59_16,Send home insurance quote,63700189479
59_16,Verify repayment agreement,63700190448
59_16,Cancel application,63700194510
59_16,Loan application canceled,63700194510
245_17,Loan application received,63712805400
245_17,Check application form completeness,63712805711
245_17,Added Activity,63712806111
245_17,Check credit history,63712807671
245_17,Assess loan risk,63712807709
245_17,Appraise property,63712808735
245_17,Added Activity,63712810247
245_17,Assess loan risk,63712810490
245_17,Appraise property,63712810624
245_17,Check credit history,63712868734
245_17,Assess loan risk,63712870015
245_17,Assess loan risk,63712870146
245_17,Assess eligibility,63712871123
245_17,Prepare acceptance pack,63712872374
245_17,Check if home insurance quote is requested,63712875761
245_17,Send home insurance quote,63712877075
245_17,Verify repayment agreement,63712877334
245_17,Cancel application,63712877944
245_17,Loan application canceled,63712877944
246_18,Loan application received,63712879200
246_18,Check application form completeness,63712881325
246_18,Added Activity,63712882583
246_18,Check credit history,63712882610
246_18,Assess loan risk,63712884238
246_18,Assess loan risk,63712886944
246_18,Appraise property,63712888411
246_18,Assess eligibility,63712888416
246_18,Reject application,63712893109
246_18,Loan application rejected,63712893109
248_19,Loan application received,63712969200
248_19,Check application form completeness,63712969858
248_19,Check credit history,63712970449
248_19,Assess loan risk,63712973208
248_19,Added Activity,63712973809
248_19,Assess loan risk,63712973954
248_19,Appraise property,63712974191
248_19,Assess eligibility,63712974409
248_19,Prepare acceptance pack,63712975694
248_19,Check if home insurance quote is requested,63712976140
248_19,Send acceptance pack,63712976260
248_19,Verify repayment agreement,63712978004
248_19,Approve application,63712981851
248_19,Loan application approved,63712981851
247_20,Loan application received,63712895400
247_20,Check application form completeness,63712895990
247_20,Added Activity,63712956018
247_20,Check credit history,63712956910
247_20,Assess loan risk,63712958420
247_20,Appraise property,63712959264
247_20,Assess eligibility,63712960675
247_20,Reject application,63712960681
247_20,Loan application rejected,63712960681
247_20,Assess loan risk,63712961816
126_21,Loan application received,63704599200
126_21,Check application form completeness,63704600397
126_21,Check credit history,63704602204
126_21,Assess loan risk,63704602436
126_21,Added Activity,63704834763
126_21,Appraise property,63704834944
126_21,Assess loan risk,63704835748
126_21,Assess eligibility,63704837040
126_21,Prepare acceptance pack,63704837871
126_21,Check if home insurance quote is requested,63704839487
126_21,Send acceptance pack,63704843794
126_21,Verify repayment agreement,63704844267
126_21,Cancel application,63704846372
126_21,Loan application canceled,63704846372
147_22,Loan application received,63706149000
147_22,Check application form completeness,63706216498
147_22,Added Activity,63706216664
147_22,Check credit history,63706216899
147_22,Assess loan risk,63706217247
147_22,Assess loan risk,63706217355
147_22,Appraise property,63706219326
147_22,Assess eligibility,63706221054
147_22,Reject application,63706221152
147_22,Loan application rejected,63706221152
148_23,Loan application received,63706222800
148_23,Check application form completeness,63706222974
148_23,Added Activity,63706223379
148_23,Check credit history,63706224535
148_23,Assess loan risk,63706226104
148_23,Assess loan risk,63706226122
148_23,Appraise property,63706226812
148_23,Assess eligibility,63706227075
148_23,Prepare acceptance pack,63706229150
148_23,Check if home insurance quote is requested,63706234092
148_23,Send home insurance quote,63706302901
148_23,Verify repayment agreement,63706304768
148_23,Cancel application,63706305242
148_23,Loan application canceled,63706305242
145_24,Loan application received,63706059000
145_24,Check application form completeness,63706059287
145_24,Check credit history,63706060465
145_24,Added Activity,63706060976
145_24,Assess loan risk,63706064131
145_24,Assess loan risk,63706064407
145_24,Appraise property,63706066433
145_24,Assess eligibility,63706069867
145_24,Reject application,63706129715
145_24,Loan application rejected,63706129715
149_25,Loan application received,63706239000
149_25,Check application form completeness,63706240691
149_25,Added Activity,63706243481
149_25,Assess loan risk,63706243860
149_25,Check credit history,63706302568
149_25,Appraise property,63706302925
149_25,Assess loan risk,63706304298
149_25,Check credit history,63706307046
149_25,Assess loan risk,63706307702
149_25,Added Activity,63706311503
149_25,Appraise property,63706313159
149_25,Assess eligibility,63706316817
149_25,Assess loan risk,63706318607
149_25,Prepare acceptance pack,63706319207
149_25,Check if home insurance quote is requested,63706323058
149_25,Send home insurance quote,63706323145
149_25,Verify repayment agreement,63706328013
149_25,Cancel application,63706329364
149_25,Loan application canceled,63706329364
123_26,Loan application received,63704493000
123_26,Check application form completeness,63704499869
123_26,Check credit history,63704501064
123_26,Assess loan risk,63704501315
123_26,Added Activity,63704503279
123_26,Assess loan risk,63704503606
123_26,Appraise property,63704504707
123_26,Check credit history,63704504959
123_26,Added Activity,63704506321
123_26,Assess loan risk,63704506978
123_26,Appraise property,63704508548
123_26,Assess loan risk,63704508676
123_26,Check credit history,63704510824
123_26,Assess loan risk,63704511462
123_26,Added Activity,63704512379
123_26,Appraise property,63704514157
123_26,Assess loan risk,63704514456
123_26,Check credit history,63704515528
123_26,Assess loan risk,63704574138
123_26,Added Activity,63704574378
123_26,Assess loan risk,63704576471
123_26,Appraise property,63704578910
123_26,Assess eligibility,63704579712
123_26,Reject application,63704580953
123_26,Loan application rejected,63704580953
127_27,Loan application received,63704845800
127_27,Check application form completeness,63704847277
127_27,Check credit history,63704847501
127_27,Assess loan risk,63704847996
127_27,Added Activity,63704850625
127_27,Appraise property,63704852554
127_27,Assess loan risk,63704852584
127_27,Check credit history,63704853734
127_27,Assess loan risk,63704853818
127_27,Added Activity,63704853868
127_27,Appraise property,63704854904
127_27,Assess loan risk,63704855170
127_27,Assess eligibility,63704858182
127_27,Reject application,63704858304
127_27,Loan application rejected,63704858304
122_28,Loan application received,63704419200
122_28,Check application form completeness,63704420428
122_28,Added Activity,63704421468
122_28,Check credit history,63704421644
122_28,Assess loan risk,63704421694
122_28,Assess loan risk,63704421853
122_28,Appraise property,63704422843
122_28,Assess eligibility,63704426396
122_28,Prepare acceptance pack,63704426844
122_28,Check if home insurance quote is requested,63704427198
122_28,Send home insurance quote,63704489163
122_28,Verify repayment agreement,63704489919
122_28,Cancel application,63704494874
122_28,Loan application canceled,63704494874
143_29,Loan application received,63705796200
143_29,Check application form completeness,63705797031
143_29,Check credit history,63705797107
143_29,Assess loan risk,63705798258
143_29,Added Activity,63705801911
143_29,Assess loan risk,63705801997
143_29,Appraise property,63705802686
143_29,Check credit history,63705804038
143_29,Added Activity,63705804123
143_29,Assess loan risk,63705804444
143_29,Assess loan risk,63705807148
143_29,Appraise property,63705807689
143_29,Check credit history,63705808315
143_29,Added Activity,63705809303
143_29,Assess loan risk,63705811881
143_29,Appraise property,63706043767
143_29,Assess loan risk,63706044487
143_29,Assess eligibility,63706045340
143_29,Reject application,63706048275
143_29,Loan application rejected,63706048275
144_30,Loan application received,63705812400
144_30,Check application form completeness,63706047319
